ID	charge	outil	n_burst	debut_burst	duree_burst	duree_pause	duree_cycle	pct_burst	pct_pause	longueur_burst	burst	startPos	endPos	docLength	categ	charBurst	ratio	Colonne1
F+S1	+	TW	1	8,207	0,88		0,88	1	0	0		0	0	0	P	l⌫		
F+S1	+	TW	2	36,67	16,4	27,583	43,983	0,372871336653	0,627128663347	21	L'arrêt du tabac est 	0	21	21	P	lA␣⌫⌫⌫La␣diminution␣du␣tabac␣est⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫'arrêt␣du␣tabac␣est␣	0,59456911866	
F+S1	+	TW	3	55,63	12,208	2,56	14,768	0,826652221018	0,173347778982	42	un sujet qui est de plus en plus fréquent 	21	63	63	P	un␣sujet␣qui␣est␣de␣plus␣plus␣⌫⌫⌫⌫⌫⌫␣en␣plus␣fréquent␣	4,76875	
F+S1	+	TW	4	69,79	10,127	1,952	12,079	0,838397218313	0,161602781687	44	dans les conversations en France, où encore 	63	107	107	P	dans␣no⌫⌫les␣conversations␣en␣France,␣où␣encore␣	5,18801229508	
F+S1	+	TW	5	82,845	3,84	2,928	6,768	0,567375886525	0,432624113475	0		107	63	63	RB	⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫	1,31147540984	
F+S1	+	TW	6	89,725	0,688	3,04	3,728	0,184549356223	0,815450643777	0		63	56	56	RB	⌫⌫⌫⌫⌫⌫⌫	0,226315789474	
F+S1	+	TW	7	93,501	5,168	3,088	8,256	0,625968992248	0,374031007752	7	équent 	56	63	63	P	éqi⌫uent␣dans␣⌫⌫⌫⌫⌫	1,67357512953	
F+S1	+	TW	8	101,421	12,784	2,752	15,536	0,822863027806	0,177136972194	24	de plus en plus répandu 	63	53	53	RB	"⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫de␣plus␣en␣p)lus⌫⌫⌫⌫lus␣ré""⌫⌫épe⌫andu␣"	4,64534883721	
F+S1	+	TW	9	116,957	4,352	2,752	7,104	0,612612612613	0,387387387387	12	en France. L	53	65	65	P	en␣France,␣⌫⌫.␣L	1,58139534884	
F+S1	+	TW	10	124,861	1,248	3,552	4,8	0,26	0,74	0		65	65	65	P	a␣⌫⌫	0,351351351351	
F+S1	+	TW	11	128,141	4,112	2,032	6,144	0,669270833333	0,330729166667	15	es différentes 	65	80	80	P	"es␣diff""⌫érenn⌫tes␣"	2,02362204724	
F+S1	+	TW	12	159,484	7,968	27,231	35,199	0,226370067331	0,773629932669	10	e. L'Etat 	80	71	71	RB	⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫e.␣L'Etet⌫⌫ar␣⌫⌫t␣	0,292607689765	
F+S1	+	TW	13	169,484	0,208	2,032	2,24	0,0928571428571	0,907142857143	2	a 	71	73	73	P	a␣	0,102362204724	
F+S1	+	TW	14	172,172	3,024	2,48	5,504	0,549418604651	0,450581395349	10	même crée 	73	83	83	P	même␣crée␣	1,21935483871	
F+S1	+	TW	15	179,788	47,983	4,592	52,575	0,912658107466	0,0873418925345	142	différentes mesures pour faire que les personnes fumeuses diminues la cigarette. Il a par exemple interdi la cigarette dans les lieux publics 	83	217	226	P	différentes␣mesures␣pour␣faire␣que␣la␣⌫⌫es␣personnes␣fumeuses␣diminuent␣⌫⌫⌫z⌫s␣la␣cigarettes⌫.␣Il␣a␣par␣exemple␣i_nterdi⌫⌫⌫⌫⌫⌫⌫nterdi␣la␣cigarette␣dans␣les␣lieux␣publiques␣⌫⌫⌫⌫⌫cs␣e⌫m⌫	10,4492595819	
F+S1	+	TW	16	231,211	6,608	3,44	10,048	0,657643312102	0,342356687898	29	 et la cigarette électronique	202	245	255	RB	␣et␣la␣cigarette␣électronique	1,92093023256	
F+S1	+	TW	17	240,875	14,095	3,056	17,151	0,821817969798	0,178182030202	65	. Mais il y a aussi une augmentation du prix du paquet ou encore 	254	319	319	RB	⌫.␣Mais␣il␣y␣a␣aussi␣une␣augmentation␣du␣prix␣du␣paquet␣p⌫ou␣encore␣	4,6122382199	
F+S1	+	TW	18	267,354	8,16	12,384	20,544	0,397196261682	0,602803738318	30	la création de paquet neutre. 	319	349	349	P	une␣⌫⌫⌫⌫la␣création␣de␣paquet␣neutre␣⌫.␣	0,658914728682	
F+S1	+	TW	19	280,234	1,952	4,72	6,672	0,292565947242	0,707434052758	2	  	349	9	351	P	␣␣	0,413559322034	
F+S1	+	TW	20	286,138	0,128	3,952	4,08	0,0313725490196	0,96862745098	1	 	0	352	352	R	␣	0,0323886639676	
F+S1	+	TW	21	294,954	0,096	8,688	8,784	0,0109289617486	0,989071038251	0		1	350	351	R	⌫	0,0110497237569	
F+S1	+	TW	22	297,386	12,047	2,336	14,383	0,837586039074	0,162413960926	37	.  On peut voir que certaines de ces 	352	384	385	P	␣Mais␣⌫⌫⌫⌫⌫⌫⌫⌫⌫␣⌫.␣␣On␣peut␣voir␣que␣certaines␣de␣ces␣	5,15710616438	
F+S1	+	TW	23	318,041	5,136	8,608	13,744	0,373690337602	0,626309662398	19	mesures augmentent 	384	403	404	RB	mesure␣⌫s␣augle⌫⌫mentent␣	0,596654275093	
F+S1	+	TW	24	333,081	1,248	9,904	11,152	0,111908177905	0,888091822095	2	s 	403	402	403	R	⌫⌫⌫s␣	0,126009693053	
F+S1	+	TW	25	347,353	9,248	13,024	22,272	0,415229885057	0,584770114943	37	permettent aux personnes de diminuer 	402	429	430	R	⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫permettent␣aux␣personnes␣de␣diminuer␣	0,710073710074	
F+S1	+	TW	26	358,681	34,607	2,08	36,687	0,943304167689	0,0566958323112	134	 vraiment la cigarette. Comme par exemple, l'augmentation du prix du tabac, car les personnes a plus faibles revenu ou ne voulant pas 	429	562	563	R	⌫␣vraiment␣la␣cigarret⌫⌫⌫ette.␣Comme␣par␣exemple,␣l'augmentation␣du␣tabac,␣car␣⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫du␣prix␣du␣tabac,␣car␣les␣personnes␣a␣plus␣faibles␣revenu␣ou␣ne␣voulant␣pas␣	16,6379807692	
F+S1	+	TW	27	401,496	17,664	8,208	25,872	0,682745825603	0,317254174397	86	mettre trop d'argent dans les cigarettes vont diminuer ou alors passer des cigarettes 	562	648	649	P	mettre␣trop␣d'argent␣dans␣les␣cif⌫garette␣⌫s␣vont␣diminuer␣ou␣alors␣pase⌫ser␣des␣cigarettes␣	2,15204678363	
F+S1	+	TW	28	422,568	1,936	3,408	5,344	0,362275449102	0,637724550898	0		648	648	649	P	déjh⌫⌫⌫⌫	0,568075117371	
F+S1	+	TW	29	428,391	14,47	3,887	18,357	0,788255161519	0,211744838481	37	pré-faites aux cigarettes à roulées. 	648	685	686	P	pré-faites␣ou⌫⌫au␣cigarette⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫x␣cigarettes␣à␣roulées.␣	3,72266529457	
F+S1	+	TW	30	472,919	0,048	30,058	30,106	0,00159436657145	0,998405633429	1	 	685	686	687	P	␣	0,00159691263557	
F+S1	+	TW	31	475,591	9,967	2,624	12,591	0,791597172584	0,208402827416	5	Mais 	686	691	692	P	Mais␣o⌫⌫⌫⌫is␣on␣peut␣⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫is␣la␣⌫⌫⌫	3,79839939024	
F+S1	+	TW	32	488,774	5,52	3,216	8,736	0,631868131868	0,368131868132	32	la création de paquet unique ou 	691	723	724	P	la␣création␣de␣paquet␣unique␣ou␣	1,71641791045	
F+S1	+	TW	33	497,478	0,416	3,184	3,6	0,115555555556	0,884444444444	0		723	720	721	RB	⌫⌫⌫	0,130653266332	
F+S1	+	TW	34	502,918	9,488	5,024	14,512	0,653803748622	0,346196251378	44	ou la mise en place de photo sur les paquet 	720	764	765	P	ou␣la␣mise␣en␣place␣de␣photo␣sur␣les␣paquet␣	1,88853503185	
F+S1	+	TW	35	522,326	0,096	9,92	10,016	0,00958466453674	0,990415335463	1	s	748	762	766	RB	s	0,00967741935484	
F+S1	+	TW	36	524,998	16,848	2,576	19,424	0,867380560132	0,132619439868	48	s pour dissuader de fumer, elles ne marchent pas	765	812	813	P	s⌫⌫s␣poue␣⌫⌫r␣dissuader␣de␣p⌫fumer␣⌫,␣elle␣ne␣⌫⌫⌫⌫⌫s␣⌫⌫es␣ne␣marche␣⌫nt␣pas␣⌫	6,54037267081	
F+S1	+	TW	37	544,229	18,432	2,383	20,815	0,885515253423	0,114484746577	45	, car l'Etat n'a pas remarqué une diminution 	812	857	858	P	,␣car␣l'état␣⌫⌫⌫⌫⌫Etat␣n'a␣pas␣remarqué␣une␣di⌫⌫⌫⌫⌫⌫⌫␣une␣diminution␣	7,73478808225	
F+S1	+	TW	38	576,037	4,016	13,376	17,392	0,230910763569	0,769089236431	14	de diminution 	857	856	857	RB	⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫de␣diminution␣	0,30023923445	
F+S1	+	TW	39	588,277	7,024	8,224	15,248	0,460650577125	0,539349422875	22	dans l'achat de paquet	856	878	879	P	dans␣l'achat␣ded␣⌫⌫p⌫␣paquet␣⌫	0,854085603113	
F+S1	+	TW	40	613,892	9,457	18,591	28,048	0,337171990873	0,662828009127	46	. De plus, l'augmentation du prix des paquets 	878	924	925	P	.␣De␣plus,␣l'augmentation␣du␣prix␣des␣paquets␣	0,508686999086	
F+S1	+	TW	41	625,588	11,072	2,239	13,311	0,8317932537	0,1682067463	15	profitent aux r	924	939	940	P	profitent␣aux␣régions␣limitrpho⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫	4,94506476105	
F+S1	+	TW	42	638,852	1,12	2,192	3,312	0,338164251208	0,661835748792	7	égions 	939	946	947	P	égions␣	0,510948905109	
F+S1	+	TW	43	647,38	11,487	7,408	18,895	0,607938608097	0,392061391903	32	régions proches de la frontière 	946	970	971	RB	⌫⌫⌫⌫⌫⌫⌫⌫régions␣proches␣de␣la␣frontière␣	1,55062095032	
F+S1	+	TW	44	660,851	0,448	1,984	2,432	0,184210526316	0,815789473684	2	s 	970	971	972	R	⌫s␣	0,225806451613	
F+S1	+	TW	45	664,867	3,072	3,568	6,64	0,46265060241	0,53734939759	10	, car les 	971	980	981	R	⌫,␣car␣ele⌫⌫⌫les␣	0,860986547085	
F+S1	+	TW	46	674,787	2,24	6,848	9,088	0,246478873239	0,753521126761	1	t	980	979	981	P	<t>⌫t	0,327102803738	
F+S1	+	TW	47	679,875	2,224	2,848	5,072	0,438485804416	0,561514195584	0		979	954	956	R	⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫	0,780898876404	
F+S1	+	TW	48	694,003	3,728	11,904	15,632	0,238485158649	0,761514841351	0		954	879	881	R	⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫	0,313172043011	
F+S1	+	TW	49	713,539	14,783	15,808	30,591	0,483246706548	0,516753293452	62	L'interdiction de la cigarette dans les lieux publics n'a pas 	879	941	943	R	L'interdiction␣de␣la␣cigarette␣dans␣les␣lieux␣publics␣elle⌫⌫⌫⌫n'a␣pas␣	0,935159412955	
F+S1	+	TW	50	730,322	0,768	2	2,768	0,277456647399	0,722543352601	0		941	941	943	P	f⌫	0,384	
F+S1	+	TW	51	737,122	11,904	6,032	17,936	0,663693131133	0,336306868867	32	 fait qu'il y ai une diminution 	941	972	974	P	eu␣une␣⌫⌫⌫⌫⌫⌫⌫⌫␣fait␣que␣l⌫⌫⌫'il␣y␣ai␣une␣diminution␣	1,97347480106	
F+S1	+	TW	52	753,378	0,56	4,352	4,912	0,114006514658	0,885993485342	5	dans 	972	977	979	P	dans␣	0,128676470588	
F+S1	+	TW	53	756,034	22,927	2,096	25,023	0,916237061903	0,083762938097	124	la consommation de cigarette, même si avec la création de la cigarette électronique il y a eu une baisse de la consommation 	977	1101	1103	P	la␣consommation␣de␣cigarette,␣même␣si␣avec␣la␣création␣de␣la␣cigarette␣électronique␣il␣y␣a␣eu␣une␣baisse␣de␣la␣consommation␣	10,9384541985	
