ID	charge	outil	n_burst	debut_burst	duree_burst	duree_pause	duree_cycle	pct_burst	pct_pause	longueur_burst	burst	startPos	endPos	docLength	categ	charBurst	ratio	Colonne1
P+S1	+	TW	1	"22,397"	"10,464"		"10,464"	1	0	45	"Dans le cadre de la médecine traditionnelle, "	0	45	45	P	"Dans␣le␣cadre␣de␣la␣médecine␣traditionnelle,␣"		
P+S1	+	TW	2	"38,557"	"7,296"	"5,696"	"12,992"	"0,56157635468"	"0,43842364532"	31	nous voici face à un dillemme. 	45	76	76	P	nous␣voici␣face␣à␣un␣dillemme.␣	"1,2808988764"	
P+S1	+	TW	3	"54,837"	"21,672"	"8,984"	"30,656"	"0,706941544885"	"0,293058455115"	94	Beaucoup critiqué cette dernière s'avère parfois en effet fort efficace sur certaines points. 	76	170	170	P	"Beaucoup␣critiqué␣cette␣dernière␣s'avère␣parfois␣ene⌫␣effet␣fort␣efficace␣sur␣certaines␣points,␣⌫⌫.␣"	"2,41228851291"	
P+S1	+	TW	4	"85,301"	"21,12"	"8,792"	"29,912"	"0,706071142017"	"0,293928857983"	120	En effet si l'ont y réfléchie plus longuement beaucoup de nos méthodes actuelles se sont basé sur les fond de cette médi	170	290	290	P	En␣effet␣si␣l'ont␣y␣réfléchie␣plus␣longuement␣beaucoup␣de␣nos␣méthodes␣actuelles␣se␣sont␣basé␣sur␣les␣fond␣de␣cette␣médi	"2,40218380346"	
P+S1	+	TW	5	"108,453"	"3,584"	"2,032"	"5,616"	"0,638176638177"	"0,361823361823"	17	ecine alternative	290	306	306	RB	⌫ecine␣alternative	"1,76377952756"	
P+S1	+	TW	6	"116,061"	"10,767"	"4,024"	"14,791"	"0,727942667839"	"0,272057332161"	39	", certains remède sont encore utilisés "	306	345	345	P	",␣certaine⌫s␣remède␣sont␣encà⌫ore␣utilisés␣"	"2,67569582505"	
P+S1	+	TW	7	"129,972"	"2,512"	"3,144"	"5,656"	"0,444130127298"	"0,555869872702"	11	à nos jours	345	356	356	P	à␣nos␣jours	"0,798982188295"	
P+S1	+	TW	8	"134,38"	"3,464"	"1,896"	"5,36"	"0,646268656716"	"0,353731343284"	2	. 	356	358	358	P	.␣C⌫	"1,82700421941"	
P+S1	+	TW	9	"145,38"	96	"7,536"	"7,632"	"0,0125786163522"	"0,987421383648"	1	s	323	347	359	R	s	"0,0127388535032"	
P+S1	+	TW	10	"160,22"	"0,24"	"14,744"	"14,984"	"0,0160170848905"	"0,983982915109"	1	 	358	359	360	RB	␣	"0,0162778079219"	
P+S1	+	TW	11	"167,164"	"0,12"	"6,704"	"6,824"	"0,0175849941383"	"0,982415005862"	1	s	276	361	361	R	s	"0,0178997613365"	
